facility_id,facility_name,county,is_houston_area,hospital_ownership,measure_id,measure_name,top_box_pct,completed_surveys
670102,"AD HOSPITAL EAST, LLC",HARRIS,True,Proprietary,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",78.0,71.0
670102,"AD HOSPITAL EAST, LLC",HARRIS,True,Proprietary,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",76.0,71.0
670102,"AD HOSPITAL EAST, LLC",HARRIS,True,Proprietary,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",78.0,71.0
670102,"AD HOSPITAL EAST, LLC",HARRIS,True,Proprietary,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",55.0,71.0
670102,"AD HOSPITAL EAST, LLC",HARRIS,True,Proprietary,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",74.0,71.0
670102,"AD HOSPITAL EAST, LLC",HARRIS,True,Proprietary,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",60.0,71.0
670102,"AD HOSPITAL EAST, LLC",HARRIS,True,Proprietary,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",65.0,71.0
670102,"AD HOSPITAL EAST, LLC",HARRIS,True,Proprietary,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",64.0,71.0
450152,ADVENTHEALTH CENTRAL TEXAS,BELL,False,Voluntary non-profit - Church,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",78.0,492.0
450152,ADVENTHEALTH CENTRAL TEXAS,BELL,False,Voluntary non-profit - Church,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",81.0,492.0
450152,ADVENTHEALTH CENTRAL TEXAS,BELL,False,Voluntary non-profit - Church,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",81.0,492.0
450152,ADVENTHEALTH CENTRAL TEXAS,BELL,False,Voluntary non-profit - Church,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",65.0,492.0
450152,ADVENTHEALTH CENTRAL TEXAS,BELL,False,Voluntary non-profit - Church,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",89.0,492.0
450152,ADVENTHEALTH CENTRAL TEXAS,BELL,False,Voluntary non-profit - Church,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",76.0,492.0
450152,ADVENTHEALTH CENTRAL TEXAS,BELL,False,Voluntary non-profit - Church,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",61.0,492.0
450152,ADVENTHEALTH CENTRAL TEXAS,BELL,False,Voluntary non-profit - Church,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",68.0,492.0
451323,ADVENTHEALTH ROLLINS BROOK,LAMPASAS,False,Voluntary non-profit - Church,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",89.0,44.0
451323,ADVENTHEALTH ROLLINS BROOK,LAMPASAS,False,Voluntary non-profit - Church,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",96.0,44.0
