facility_id,facility_name,city,county,hospital_ownership,hospital_type,overall_rating,is_houston_area,readm_pn_pct,readm_hf_pct,mort_hf_pct,mort_pn_pct,hai_clabsi_sir,hai_cauti_sir,sepsis_bundle_pct,ed_left_without_seen_pct,recommend_pct,rated_9_10_pct,hcahps_star
670102,"AD HOSPITAL EAST, LLC",HOUSTON,HARRIS,Proprietary,Acute Care Hospitals,,True,,,,,,,,1.0,64.0,60.0,
670321,ADVANCED DALLAS HOSPITALS AND CLINICS,DALLAS,DALLAS,Proprietary,Acute Care Hospitals,,False,,,,,,,,0.0,,,
450152,ADVENTHEALTH CENTRAL TEXAS,KILLEEN,BELL,Voluntary non-profit - Church,Acute Care Hospitals,3.0,False,17.9,23.1,12.9,17.0,,,45.0,2.0,68.0,76.0,4.0
451323,ADVENTHEALTH ROLLINS BROOK,LAMPASAS,LAMPASAS,Voluntary non-profit - Church,Critical Access Hospitals,4.0,False,17.0,,,13.0,,,40.0,1.0,89.0,90.0,
454101,ALLEGIANCE BEHAVIORAL HEALTH CENTER OF PLAINVIEW,PLAINVIEW,HALE,Proprietary,Psychiatric,,False,,,,,,,,,,,
670135,"ALTUS HOUSTON HOSPITAL, LP",HOUSTON,HARRIS,Proprietary,Acute Care Hospitals,,True,,,,,,,,,,,
670134,ALTUS LUMBERTON HOSPITAL,LUMBERTON,HARDIN,Proprietary,Acute Care Hospitals,,False,,,,,,,,1.0,89.0,91.0,
670781,ANSON GENERAL HOSPITAL,ANSON,JONES,Government - Hospital District or Authority,Rural Emergency Hospital,,False,,,,,,,,,,,
670056,ASCENSION  SETON HAYS,KYLE,HAYS,Voluntary non-profit - Private,Acute Care Hospitals,3.0,False,16.8,20.8,9.4,15.0,0.612,0.564,47.0,,66.0,67.0,3.0
450042,ASCENSION PROVIDENCE,WACO,MC LENNAN,Voluntary non-profit - Private,Acute Care Hospitals,2.0,False,18.0,21.4,13.8,16.8,0.306,0.648,41.0,,69.0,70.0,3.0
450865,ASCENSION SETON  SOUTHWEST,AUSTIN,HAYS,Voluntary non-profit - Private,Acute Care Hospitals,,False,,,,,,,71.0,,86.0,83.0,
670043,ASCENSION SETON CEDAR PARK,CEDAR PARK,WILLIAMSON,Voluntary non-profit - Private,Acute Care Hospitals,3.0,False,19.4,21.5,9.3,18.7,,0.0,65.0,1.0,61.0,63.0,2.0
451371,ASCENSION SETON EDGAR B DAVIS,LULING,CALDWELL,Voluntary non-profit - Private,Critical Access Hospitals,,False,17.3,20.8,,12.9,,,,1.0,,,
451365,ASCENSION SETON HIGHLAND LAKES,BURNET,BURNET,Voluntary non-profit - Private,Critical Access Hospitals,5.0,False,16.8,21.2,9.6,12.5,,,,1.0,,,
450056,ASCENSION SETON MEDICAL CENTER AUSTIN,AUSTIN,TRAVIS,Voluntary non-profit - Private,Acute Care Hospitals,3.0,False,16.5,20.3,9.6,16.4,0.535,0.394,41.0,,67.0,65.0,3.0
450867,ASCENSION SETON NORTHWEST,AUSTIN,TRAVIS,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,18.7,21.2,8.5,13.6,0.0,0.661,49.0,,70.0,71.0,3.0
671304,ASCENSION SETON SMITHVILLE,SMITHVILLE,BASTROP,Voluntary non-profit - Private,Critical Access Hospitals,,False,,,,,,,,,,,
670041,ASCENSION SETON WILLIAMSON,ROUND ROCK,WILLIAMSON,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,16.9,20.8,11.5,13.6,1.291,0.417,49.0,,71.0,70.0,2.0
670093,ASPIRE HOSPITAL,CONROE,MONTGOMERY,Physician,Acute Care Hospitals,,True,,,,,,,,,,,
452114,ATRIUM MEDICAL CENTER,STAFFORD,FORT BEND,Physician,Long-term,,True,,,,,,,,,,,
454121,AUSTIN OAKS HOSPITAL,AUSTIN,TRAVIS,Proprietary,Psychiatric,,False,,,,,,,,,,,
454084,AUSTIN STATE HOSPITAL,AUSTIN,TRAVIS,Government - State,Psychiatric,,False,,,,,,,,,,,
451310,BALLINGER MEMORIAL HOSPITAL,BALLINGER,RUNNELS,Government - Hospital District or Authority,Critical Access Hospitals,,False,,,,,,,,,,,
670336,BANDERA FAMILY HOSPITAL,SAN ANTONIO,BEXAR,Proprietary,Acute Care Hospitals,,False,,,,,,,,,,,
450346,BAPTIST BEAUMONT HOSPITAL,BEAUMONT,JEFFERSON,Voluntary non-profit - Private,Acute Care Hospitals,3.0,False,18.0,21.1,10.6,20.5,0.173,0.273,73.0,3.0,71.0,69.0,3.0
450058,BAPTIST MEDICAL CENTER,SAN ANTONIO,BEXAR,Proprietary,Acute Care Hospitals,3.0,False,15.0,19.8,9.9,16.9,0.327,0.311,64.0,3.0,64.0,66.0,2.0
670078,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,SAN ANTONIO,BEXAR,Proprietary,Acute Care Hospitals,5.0,False,16.9,,,11.7,,,80.0,2.0,79.0,82.0,4.0
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,TROPHY CLUB,DENTON,Proprietary,Acute Care Hospitals,,False,,,,,,,,2.0,69.0,67.0,3.0
450885,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,FRISCO,COLLIN,Voluntary non-profit - Private,Acute Care Hospitals,5.0,False,18.1,21.4,11.4,12.6,,,85.0,0.0,78.0,78.0,4.0
670062,BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL,AUBREY,DENTON,Proprietary,Acute Care Hospitals,,False,17.1,,,12.3,,,73.0,2.0,67.0,73.0,
450851,BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL - DALLAS,DALLAS,DALLAS,Proprietary,Acute Care Hospitals,5.0,False,,21.7,9.3,,,,,,87.0,84.0,4.0
670343,BAYLOR SCOTT & WHITE HOSPITAL BRENHAM,BRENHAM,WASHINGTON,Voluntary non-profit - Private,Acute Care Hospitals,,False,,,,,,,,,,,
450563,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,GRAPEVINE,TARRANT,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,16.5,23.1,8.8,11.6,0.554,0.215,89.0,1.0,79.0,77.0,4.0
670131,BAYLOR SCOTT & WHITE MEDICAL CENTER - BUDA,BUDA,HAYS,Voluntary non-profit - Private,Acute Care Hospitals,,False,,,,,,,89.0,1.0,88.0,91.0,
450853,BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO,FRISCO,DENTON,Proprietary,Acute Care Hospitals,3.0,False,,,,,,,73.0,0.0,76.0,79.0,4.0
670108,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,MARBLE FALLS,BURNET,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,16.7,20.5,11.4,17.0,,,75.0,2.0,79.0,77.0,4.0
670034,BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK,ROUND ROCK,WILLIAMSON,Voluntary non-profit - Private,Acute Care Hospitals,4.0,False,17.6,21.6,8.6,12.9,0.0,0.498,81.0,3.0,77.0,76.0,4.0
450054,BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE,TEMPLE,BELL,Voluntary non-profit - Private,Acute Care Hospitals,5.0,False,16.5,19.3,8.4,14.0,0.51,0.155,85.0,2.0,74.0,74.0,3.0
451374,BAYLOR SCOTT & WHITE MEDICAL CENTER -TAYLOR,TAYLOR,WILLIAMSON,Voluntary non-profit - Private,Critical Access Hospitals,,False,16.0,20.2,,,,,,2.0,73.0,73.0,
450079,BAYLOR SCOTT & WHITE MEDICAL CENTER AT IRVING,IRVING,DALLAS,Voluntary non-profit - Private,Acute Care Hospitals,5.0,False,18.7,21.1,7.7,12.0,1.187,0.0,91.0,0.0,78.0,75.0,3.0
